manufacturer;name;category;subcategory;kgCO2eq (total);use (%);Yearly TEC (kWh);Lifetime;Use Location;date;sources;error (%);Manufacturing;Weight;Assembly Location;Screen size;Server Type;HDD/SSD;RAM;CPU;U;;;;;;;;;;;;;;
Lenovo;Lenovo - ThinkPad 8;Workplace;Laptop;159;15,00%;N/A;4;US;2015;https://www.lenovo.com/medias/PCF-Lenovo-ThinkPad-8.pdf?context=bWFzdGVyfHNvY2lhbF9yZXNwb25zaWJpbGl0eXwyMDU1Mzd8YXBwbGljYXRpb24vcGRmfHNvY2lhbF9yZXNwb25zaWJpbGl0eS9oYTEvaDVhLzkzNTE4NDY4ODc0NTQucGRmfGZmZTE2YTFiZWE1MGRlYTc3NWVkZTc2MWFmMWZmZjZiYjJmNGNiNGY2MzBiZDJkNTg1MDU0ZDVmMjVjZTBhNWM;46,54%;;;CN;12,1;;;;;;;;;;;;;;;;;;;
Lenovo;Lenovo - ThinkPad 10;Workplace;Laptop;150;16,00%;N/A;4;US;2015;https://www.lenovo.com/medias/PCF-Lenovo-ThinkPad-10.pdf?context=bWFzdGVyfHNvY2lhbF9yZXNwb25zaWJpbGl0eXwyNDEwNjV8YXBwbGljYXRpb24vcGRmfHNvY2lhbF9yZXNwb25zaWJpbGl0eS9oMGYvaDgyLzkzNTE4NDg0Mjc1NTAucGRmfGNlMzgwMjM5M2JmODAyNWZjZjQxNzk2MzBmNmNkOTliMjBmNjZmMGIwMGQ1ZmZmYWFlNzRkZTQxZjlmMzk4MDQ;48,00%;;;CN;10,1;;;;;;;;;;;;;;;;;;;
Lenovo;Lenovo - ThinkPad 11e;Workplace;Laptop;291;31,00%;N/A;4;US;2015;https://www.lenovo.com/medias/PCF-Lenovo-ThinkPad-11e-Yoga-11e.pdf?context=bWFzdGVyfHNvY2lhbF9yZXNwb25zaWJpbGl0eXwyMzAwMTB8YXBwbGljYXRpb24vcGRmfHNvY2lhbF9yZXNwb25zaWJpbGl0eS9oZTAvaGUxLzkzNTE4NDg1OTEzOTAucGRmfDM2YmI1NzE4MDEzMTUxYzA2NzQxOTBjOGY5MmYyZGE0YTQwNDlmMjRlMWZkYTkyNzJiZDdhN2ZkNTliZjRkOTc;23,37%;;;CN;11,6;;;;;;;;;;;;;;;;;;;
Lenovo;Lenovo - ThinkPad 13;Workplace;Laptop;272;38,00%;N/A;;US;2016;https://www.lenovo.com/medias/PCF-ThinkPad-13.pdf?context=bWFzdGVyfHNvY2lhbF9yZXNwb25zaWJpbGl0eXwzNTEzODl8YXBwbGljYXRpb24vcGRmfHNvY2lhbF9yZXNwb25zaWJpbGl0eS9oYjUvaDRhLzkzNTE4NTczNDA0NDYucGRmfDY4OWYzYWNlZmE4M2MzMmQ0YjcyZTQyNDM0MjA2ZTUwN2IzZDZmOTYyODcwZDI2ZGY5NDFiZWVkYmE3NjZiMzg;31,62%;;;CN;13,3;;;;;;;;;;;;;;;;;;;
Lenovo;Lenovo - ThinkPad 25;Workplace;Laptop;296;28,00%;N/A;5;US;2017;https://www.lenovo.com/medias/PCF-ThinkPad-25.pdf?context=bWFzdGVyfHJvb3R8MTUxODQwfGFwcGxpY2F0aW9uL3BkZnxoNTEvaGYwLzk1OTc4NDYxMjY2MjIucGRmfDFjNzk3ODZiNGQ0ZjJjMmE5NjgwMWVmNzIxNTBjYmZmNjZhZDM4OGVhOTU1ODU1Y2QwMmE4NDI4YzZjYjVkZjQ;37,84%;;;CN;14,1;;;;;;;;;;;;;;;;;;;
Lenovo;Lenovo - ThinkPad A275;Workplace;Laptop;415;31,00%;N/A;5;US;2017;https://www.lenovo.com/medias/PCF-ThinkPad-A275.pdf?context=bWFzdGVyfHJvb3R8MTMwNTIyfGFwcGxpY2F0aW9uL3BkZnxoNzQvaGEyLzk1OTc4NDU4MzE3MTAucGRmfDBlYTRhZDE0MDk2MGVhZjdjODk0Y2UzODgxNGY4NmNhNWNiNjc1YmE1MjY1NmVlMTZjZmE5NjQ2OTgwYjU1NGU;26,99%;;;CN;12,5;;;;;;;;;;;;;;;;;;;
Lenovo;Lenovo - ThinkPad E14;Workplace;Laptop;276;18,00%;N/A;5;EU;2019;https://static.lenovo.com/ww/docs/regulatory/PCF-ThinkPad-E14_R14_S3-Gen-2.pdf;39,13%;;;CN;14;;;;;;;;;;;;;;;;;;;
Apple;Apple - 16-inch MacBook Pro;Workplace;Laptop;394;19,00%;N/A;;;November, 2019;https://www.apple.com/environment/pdf/products/notebooks/16-inch_MacBookPro_PER_Nov2019.pdf;0,00%;75,00%;;;16;;SSD 512GB;;;;;;;;;;;;;;;;;
Apple;Apple - 16-inch MacBook Pro;Workplace;Laptop;465;19,00%;N/A;;;November, 2019;https://www.apple.com/environment/pdf/products/notebooks/16-inch_MacBookPro_PER_Nov2019.pdf;0,00%;75,00%;;;16;;SSD 1024GB;;;;;;;;;;;;;;;;;
Apple;Apple - 15-inch MacBook Pro;Workplace;Laptop;352;19,00%;N/A;;;November, 2019;https://www.apple.com/environment/pdf/products/notebooks/16-inch_MacBookPro_PER_Nov2019.pdf;0,00%;75,00%;;;15;;SSD 256GB;;;;;;;;;;;;;;;;;
Apple;Apple - 15-inch MacBook Pro;Workplace;Laptop;385;19,00%;N/A;;;November, 2019;https://www.apple.com/environment/pdf/products/notebooks/16-inch_MacBookPro_PER_Nov2019.pdf;0,00%;75,00%;;;15;;SSD 512GB;;;;;;;;;;;;;;;;;
Apple;Apple - 13-inch MacBook Pro;Workplace;Laptop;217;17,00%;N/A;;;May, 2020;https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookPro_PER_May2020.pdf;0,00%;76,00%;;;13;;;;;;;;;;;;;;;;;;;
Apple;Apple - 13-inch MacBook Pro M1, 2020 with 256GB ;Workplace;Laptop;185;19,00%;N/A;;;November, 2020;https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookPro_PER_Nov2020.pdf;0,00%;73,00%;;;13;;SSD 256GB;;;;;;;;;;;;;;;;;
Apple;Apple - 13-inch MacBook Pro M1, 2020 with 512GB ;Workplace;Laptop;207;19,00%;N/A;;;November, 2020;https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookPro_PER_Nov2020.pdf;0,00%;73,00%;;;13;;SSD 512GB;;;;;;;;;;;;;;;;;
Apple;Apple - 13-inch MacBook Pro Four Thunderbolt 3 ports with 512GB;Workplace;Laptop;251;19,00%;N/A;;;November, 2020;https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookPro_PER_Nov2020.pdf;0,00%;73,00%;;;13;;SSD 512GB;;;;;;;;;;;;;;;;;
Apple;Apple - 13-inch MacBook Pro  Four Thunderbolt 3 ports with  1TB;Workplace;Laptop;298;19,00%;N/A;;;November, 2020;https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookPro_PER_Nov2020.pdf;0,00%;73,00%;;;13;;SSD 1024GB;;;;;;;;;;;;;;;;;
Apple;Apple - 13-inch MacBook Pro;Workplace;Laptop;251;17,00%;N/A;;;2020;https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookPro_PER_May2020.pdf;0,00%;;;;13;;;;;;;;;;;;;;;;;;;
Apple;Apple - 13-inch MacBook Air with Retina display;Workplace;Laptop;174;15,00%;N/A;;;2020;https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookAir_w_Retina_PER_Mar2020.pdf;0,00%;;;;13;;;;;;;;;;;;;;;;;;;
Apple;Apple - 13-inch MacBook Air with Retina display;Workplace;Laptop;202;15,00%;N/A;;;2020;https://www.apple.com/environment/pdf/products/notebooks/13-inch_MacBookAir_w_Retina_PER_Mar2020.pdf;0,00%;;;;13;;;;;;;;;;;;;;;;;;;
HP;HP - HP 240 G7 Notebook PC;Workplace;Laptop;265;N/A;11,42;4;WW;2020;https://h22235.www2.hp.com/hpinfo/globalcitizenship/environment/productdata/Countries/_MultiCountry/productcarbonfootprint_notebo_2020312224856355.pdf;41,51%;;;;14;;;;;;;;;;;;;;;;;;;
HP;HP - HP Chromebook Enterprise 14 G6;Workplace;Laptop;290;N/A;11,8;4;WW;2020;https://h22235.www2.hp.com/hpinfo/globalcitizenship/environment/productdata/Countries/_MultiCountry/productcarbonfootprint_notebo_20205710152596.pdf;44,83%;;;;14;;;;;;;;;;;;;;;;;;;
HP;HP - HP Elite Dragonfly Notebook pc;Workplace;Laptop;210;N/A;16,4;4;WW;2020;https://h22235.www2.hp.com/hpinfo/globalcitizenship/environment/productdata/Countries/_MultiCountry/productcarbonfootprint_notebo_20203122390898.pdf;42,86%;;;China;13,3;;;;;;;;;;;;;;;;;;;
HP;HP - HP EliteBook 735 G6 Notebook PC;Workplace;Laptop;330;N/A;23,4;4;WW;2020;https://h22235.www2.hp.com/hpinfo/globalcitizenship/environment/productdata/Countries/_MultiCountry/productcarbonfootprint_notebo_202062402613696.pdf;36,36%;;;;13,3;;;;;;;;;;;;;;;;;;;
HP;HP - HP mt22 mobile thin client;Workplace;Laptop;345;N/A;17,85;4;WW;2020;https://h22235.www2.hp.com/hpinfo/globalcitizenship/environment/productdata/Countries/_MultiCountry/productcarbonfootprint_notebo_2020611104659163.pdf;34,78%;;;;14;;;;;;;;;;;;;;;;;;;
HP;HP - HP ProBook 430 G7 Notebook PC;Workplace;Laptop;315;N/A;13,44;4;WW;2020;https://h22235.www2.hp.com/hpinfo/globalcitizenship/environment/productdata/Countries/_MultiCountry/productcarbonfootprint_notebo_20203122391617.pdf;38,10%;;;;13,3;;;;;;;;;;;;;;;;;;;
HP;HP - HP Spectre x360 15 Convertible PC;Workplace;Laptop;340;N/A;29,5;4;WW;2020;https://h22235.www2.hp.com/hpinfo/globalcitizenship/environment/productdata/Countries/_MultiCountry/productcarbonfootprint_notebo_2020611104658929.pdff;44,12%;;;;15,6;;;;;;;;;;;;;;;;;;;
HP;HP - HP ZBook Firefly 14 G7 Mobile Workstation;Workplace;Laptop;310;N/A;15,98;4;WW;2020;https://h22235.www2.hp.com/hpinfo/globalcitizenship/environment/productdata/Countries/_MultiCountry/productcarbonfootprint_notebo_202061110465870.pdf;35,48%;;;;14;;;;;;;;;;;;;;;;;;;
Asus;Asus - Mini PC PB60;Workplace;Desktop;275;46,20%;60,53;4;;2019;https://csr.asus.com/english/file/PEP_Mini-PC_PB60.pdf;0,00%;41,60%;;;;;;;;;;;;;;;;;;;;;;
Asus;Asus - Notebook C423;Workplace;Laptop;113;32,20%;N/A;4;;2019;https://csr.asus.com/english/file/PEP_Notebook_C423.pdf;0,00%;;;;14;;;;;;;;;;;;;;;;;;;
Fujistu;Fujitsu - ESPRIMO P957;Workplace;Desktop;961;52,00%;37,5;5;Germany;2018;https://sp.ts.fujitsu.com/dmsp/Publications/public/LCA-FUJITSU-Desktop-ESPRIMO-P957.pdf;0,00%;;;;0;;;;;;;;;;;;;;;;;;;
Generic;HighEnd 13inches laptop;Workplace;Laptop;222;0,00%;25;;;2018;https://github.com/Boavizta/environmental-footprint-data;38,00%;;;;13;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 3030 Thin Client ;Workplace;Thin Client;70;39,00%;19,2;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-3030.pdf;44,29%;59,00%;0,64;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 3040 Thin Client ;Workplace;Thin Client;63;40,00%;18,7;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-3040.pdf;44,44%;59,00%;0,24;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 5010 Thin Client ;Workplace;Thin Client;86;50,00%;31,7;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-5010.pdf;38,37%;48,00%;0,93;China;;;;;;;;;;;;;;;;;;;;
Dell;Dell Wyse 5020 Thin Client ;Workplace;Thin Client;89;55,00%;35,7;2;EU;August, 2018;https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-wyse-5020.pdf;39,33%;45,00%;0,425;China;;;;;;;;;;;;;;;;;;;;
