Manufacturer,Name,Total (kgCO2eq),Error (%),Date,Weight,Screen size,Assembly Location,Lifetime,Use Location,Yearly TEC (kWh),Added Date,Add Method,Use (%),Manufacturing,Sources
Dell,Dell AW3418HW Monitor,934.0,15.63,"December, 2018",18.361,34.0,China,6.0,EU,95.9655,2021-10-18,Dell Auto Parser,32.4,52.7,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-AW3418HW-monitor.pdf
Dell,Dell UP2516D Monitor,561.0,18.18,"August, 2018",2.744,25.0,China,6.0,EU,56.6708,2021-10-18,Dell Auto Parser,33.4,62.1,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-UP2516D-monitor.pdf
Dell,Dell E2216H Monitor,441.0,19.05,"December, 2018",4.574,21.0,China,6.0,EU,35.5995,2021-10-18,Dell Auto Parser,25.4,67.4,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-E2216H-monitor.pdf
Dell,Dell E2216HV Monitor,440.0,19.55,"December, 2018",4.015,21.0,China,6.0,EU,35.5995,2021-10-18,Dell Auto Parser,25.4,68.3,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-E2216HV-monitor.pdf
Dell,Dell E2316H Monitor,459.0,18.3,"December, 2018",5.062,23.0,China,6.0,EU,39.5655,2021-10-18,Dell Auto Parser,27.2,65.2,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-E2316H-monitor.pdf
Dell,Dell E2318H Monitor,464.0,18.75,"December, 2018",5.025,23.0,China,6.0,EU,39.5655,2021-10-18,Dell Auto Parser,26.9,65.6,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-E2318H-monitor.pdf
Dell,Dell E2318HN Monitor,464.0,18.32,"December, 2018",5.025,23.0,China,6.0,EU,39.5655,2021-10-18,Dell Auto Parser,26.8,65.5,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-E2318HN-monitor.pdf
Dell,Dell AW2518H Monitor,626.0,16.93,"December, 2018",11.06,25.0,China,6.0,EU,50.9655,2021-10-18,Dell Auto Parser,25.7,60.7,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-AW2518H-monitor.pdf
Dell,Dell AW2518HF Monitor,577.0,18.2,"December, 2018",11.06,25.0,China,6.0,EU,35.2155,2021-10-18,Dell Auto Parser,19.3,65.9,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-AW2518HF-monitor.pdf
Dell,Dell AW3418DW Monitor,880.0,14.77,"December, 2018",18.791,34.0,China,6.0,EU,114.7155,2021-10-18,Dell Auto Parser,41.0,46.1,https://i.dell.com/sites/csdocuments/CorpComm_Docs/en/carbon-footprint-AW3418DW-monitor.pdf
