manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,gwp_eol_ratio
HP,HP 27h FHD Monitor,Workplace,Monitor,237.0,0.52,45.91,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08361997.pdf,,0.46,5.9,China,27.0,,,,,,2022-09-15,HP Auto Parser,0.01,0.01
HP,HP Chromebook 15.6 inch,Workplace,Laptop,148.0,0.23,15.68,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08361998.pdf,,0.68,1.9,China,15.6,,,,,,2022-09-15,HP Auto Parser,0.08,0.01
HP,HP Chromebook x360 14a,Workplace,Laptop,120.0,0.22,12.44,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c07645378.pdf,,0.66,1.6,China,14.0,,,,,,2022-09-15,HP Auto Parser,0.11,0.01
HP,HP M32fw FHD Monitor,Workplace,Monitor,278.0,0.53,54.98,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08361999.pdf,,0.45,5.4,China,31.5,,,,,,2022-09-15,HP Auto Parser,0.01,0.01
HP,HP V27c G5 FHD Curved Monitor,Workplace,Monitor,253.0,0.56,53.11,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08362000.pdf,,0.42,4.9,China,27.0,,,,,,2022-09-15,HP Auto Parser,0.01,0.01
HP,HP V27ie G5 FHD Monitor,Workplace,Monitor,227.0,0.54,45.91,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08362001.pdf,,0.44,4.6,China,27.0,,,,,,2022-09-15,HP Auto Parser,0.01,0.01
HP,HP P24h G5 FHD Monitor,Workplace,Monitor,206.0,0.54,41.64,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08367298.pdf,,0.44,0.9,China,23.8,,,,,,2022-09-15,HP Auto Parser,0.01,0.01
HP,HyperX Armada 25 Gaming Monitor,Workplace,Monitor,315.0,0.44,49.45,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08367297.pdf,,0.54,8.8,China,24.5,,,,,,2022-09-15,HP Auto Parser,0.01,0.01
HP,HP Chromebook x360 12b,Workplace,Laptop,175.0,0.12,9.46,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08360693.pdf,,0.82,1.5,China,12.0,,,,,,2022-09-15,HP Auto Parser,0.06,0.0
HP,HP Elite x2 G4,Workplace,Monitor,199.0,0.23,21.04,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525029.pdf,,0.72,1.1,China,13.0,,,,,,2022-09-15,HP Auto Parser,0.05,0.0
HP,HP EliteBook 845 G9,Workplace,Laptop,227.0,0.18,18.66,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08356585.pdf,,0.77,1.9,China,14.0,,,,,,2022-09-15,HP Auto Parser,0.05,0.0
HP,HP Pro c645 Chromebook,Workplace,Laptop,206.0,0.24,22.81,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08356592.pdf,,0.71,1.7,China,14.0,,,,,,2022-09-15,HP Auto Parser,0.05,0.0
HP,HP ENVY 16inch Laptop PC,Workplace,Laptop,290.0,0.23,30.63,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08335180.pdf,,0.7,2.6,China,16.0,,,,,,2022-09-15,HP Auto Parser,0.07,0.0
HP,HP Elite Dragonfly 13.5 inch Chromebook,Workplace,Laptop,183.0,0.21,17.55,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08335204.pdf,,0.73,1.5,China,13.5,,,,,,2022-09-15,HP Auto Parser,0.06,0.0
HP,HP t430 Thin Client,Workplace,Workstation,75.0,,13.6,5.0,Worldwide,,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525199.pdf,0.4667,,1.4,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP M24 Webcam 23.8-inch Monitor,Workplace,Monitor,251.0,0.46,42.69,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08295120.pdf,,0.52,6.5,China,24.0,,,,,,2022-09-15,HP Auto Parser,0.01,0.01
HP,HP Pro Mini 400 G9 Desktop PC,Workplace,Workstation,243.0,0.59,28.37,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08295166.pdf,,0.4,7.0,China,62.4,,,,,,2022-09-15,HP Auto Parser,0.0,0.01
HP,HP Pro Tower 400 G9 PCI Desktop PC,Workplace,Workstation,841.0,0.34,56.87,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08295355.pdf,,0.65,7.0,China,2.0,,,,,,2022-09-15,HP Auto Parser,0.0,0.01
HP,HP E27u G4 QHD USB-C Monitor,Workplace,Monitor,665.0,,58.4,5.0,Worldwide,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524895.pdf,0.2406,,7.74,China,27.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP Z27k G3 4K USB-C Display,Workplace,Monitor,720.0,,76.83,5.0,Worldwide,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524896.pdf,0.2639,,6.44,China,27.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP Z25xs G3,Workplace,Monitor,695.0,,67.45,5.0,Worldwide,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524904.pdf,0.259,,6.62,China,25.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP EliteBook 830 G8 Notebook PC,Workplace,Laptop,345.0,,24.24,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525065.pdf,0.1884,,1.609,China,13.3,,,,,,2022-09-15,HP Auto Parser,,
HP,HP EliteBook 840 G8 Notebook PC,Workplace,Laptop,330.0,,20.04,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525061.pdf,0.1818,,1.677,China,14.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP EliteBook 850 G8 Notebook PC,Workplace,Laptop,370.0,,26.1,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525063.pdf,0.1892,,2.205,China,15.6,,,,,,2022-09-15,HP Auto Parser,,
HP,HP EliteBook x360 830 G8,Workplace,Laptop,350.0,,17.65,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525060.pdf,0.1714,,1.647,China,13.3,,,,,,2022-09-15,HP Auto Parser,,
HP,HP ZBook Firefly 14 G8 Notebook PC,Workplace,Laptop,330.0,,20.04,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525062.pdf,0.197,,1.677,China,14.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP ZBook Firefly 15 G8 Notebook PC,Workplace,Laptop,370.0,,26.1,4.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07525064.pdf,0.1892,,2.205,China,15.6,,,,,,2022-09-15,HP Auto Parser,,
HP,HP Z24f G3 FHD Display,Workplace,Monitor,550.0,,35.15,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524853.pdf,0.2364,,5.02,China,23.8,,,,,,2022-09-15,HP Auto Parser,,
HP,HP Z24n G3 WUXGA Display,Workplace,Monitor,605.0,,46.9,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524855.pdf,0.2314,,5.3,China,24.1,,,,,,2022-09-15,HP Auto Parser,,
HP,HP Z27q G3 QHD Display,Workplace,Monitor,650.0,,57.41,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524851.pdf,0.2385,,6.12,China,27.0,,,,,,2022-09-15,HP Auto Parser,,
HP,HP 285 G6 MT,Workplace,Workstation,780.0,,109.71,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524620.pdf,0.2692,,5.65,China,,,,,,,2022-09-15,HP Auto Parser,,
HP,HP 285 Pro G6 MT,Workplace,Workstation,780.0,,109.71,5.0,Worldwide,2020,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524622.pdf,0.2692,,5.65,China,,,,,,,2022-09-15,HP Auto Parser,,
